purchase_order_id,store_id,product_id,category,supplier_id,order_date,expected_arrival_date,ordered_qty,planned_lead_time_days,cancelled_flag,data_origin,known_received_qty,open_qty,known_status,receipt_weight,effective_incoming_qty
PO-SIM-0002066,S001,P0015,Toys,SUP-05,2024-01-27,2024-01-30,10,3,False,simulation,0.0,10.0,입고 예정,1.0,10.0
PO-SIM-0002067,S001,P0017,Toys,SUP-05,2024-01-27,2024-01-30,78,3,False,simulation,43.0,35.0,입고 예정,1.0,35.0
PO-SIM-0002069,S002,P0008,Groceries,SUP-04,2024-01-27,2024-02-02,129,6,False,simulation,0.0,129.0,입고 예정,1.0,129.0
PO-SIM-0002070,S002,P0010,Groceries,SUP-04,2024-01-27,2024-02-02,126,6,False,simulation,0.0,126.0,입고 예정,1.0,126.0
PO-SIM-0002071,S002,P0016,Clothing,SUP-01,2024-01-27,2024-01-30,24,3,False,simulation,0.0,24.0,입고 예정,1.0,24.0
PO-SIM-0002073,S003,P0003,Electronics,SUP-02,2024-01-27,2024-01-31,14,4,False,simulation,0.0,14.0,입고 예정,1.0,14.0
PO-SIM-0002075,S003,P0009,Groceries,SUP-04,2024-01-27,2024-02-02,84,6,False,simulation,0.0,84.0,입고 예정,1.0,84.0
PO-SIM-0002076,S003,P0010,Groceries,SUP-04,2024-01-27,2024-02-02,63,6,False,simulation,0.0,63.0,입고 예정,1.0,63.0
PO-SIM-0002077,S003,P0019,Groceries,SUP-04,2024-01-27,2024-02-02,3,6,False,simulation,0.0,3.0,입고 예정,1.0,3.0
PO-SIM-0002078,S004,P0002,Groceries,SUP-04,2024-01-27,2024-02-02,84,6,False,simulation,0.0,84.0,입고 예정,1.0,84.0
PO-SIM-0002079,S004,P0005,Clothing,SUP-01,2024-01-27,2024-01-30,94,3,False,simulation,0.0,94.0,입고 예정,1.0,94.0
PO-SIM-0002080,S004,P0007,Groceries,SUP-04,2024-01-27,2024-02-02,98,6,False,simulation,0.0,98.0,입고 예정,1.0,98.0
PO-SIM-0002081,S004,P0018,Furniture,SUP-03,2024-01-27,2024-02-01,13,5,False,simulation,0.0,13.0,입고 예정,1.0,13.0
PO-SIM-0002082,S005,P0007,Groceries,SUP-04,2024-01-27,2024-02-02,50,6,False,simulation,0.0,50.0,입고 예정,1.0,50.0
PO-SIM-0002083,S005,P0008,Groceries,SUP-04,2024-01-27,2024-02-02,92,6,False,simulation,0.0,92.0,입고 예정,1.0,92.0
PO-SIM-0002084,S001,P0008,Electronics,SUP-02,2024-01-28,2024-02-01,104,4,False,simulation,0.0,104.0,입고 예정,1.0,104.0
PO-SIM-0002085,S001,P0013,Toys,SUP-05,2024-01-28,2024-01-31,39,3,False,simulation,0.0,39.0,입고 예정,1.0,39.0
PO-SIM-0002087,S001,P0017,Toys,SUP-05,2024-01-28,2024-01-31,81,3,False,simulation,0.0,81.0,입고 예정,1.0,81.0
PO-SIM-0002088,S002,P0003,Groceries,SUP-04,2024-01-28,2024-02-03,39,6,False,simulation,0.0,39.0,입고 예정,1.0,39.0
PO-SIM-0002089,S002,P0006,Clothing,SUP-01,2024-01-28,2024-01-31,17,3,False,simulation,0.0,17.0,입고 예정,1.0,17.0
PO-SIM-0002090,S002,P0010,Groceries,SUP-04,2024-01-28,2024-02-03,6,6,False,simulation,0.0,6.0,입고 예정,1.0,6.0
PO-SIM-0002091,S002,P0011,Groceries,SUP-04,2024-01-28,2024-02-03,26,6,False,simulation,0.0,26.0,입고 예정,1.0,26.0
PO-SIM-0002092,S002,P0017,Toys,SUP-05,2024-01-28,2024-01-31,1,3,False,simulation,0.0,1.0,입고 예정,1.0,1.0
PO-SIM-0002093,S003,P0001,Toys,SUP-05,2024-01-28,2024-01-31,12,3,False,simulation,0.0,12.0,입고 예정,1.0,12.0
PO-SIM-0002094,S003,P0003,Electronics,SUP-02,2024-01-28,2024-02-01,69,4,False,simulation,0.0,69.0,입고 예정,1.0,69.0
PO-SIM-0002095,S003,P0006,Toys,SUP-05,2024-01-28,2024-01-31,47,3,False,simulation,0.0,47.0,입고 예정,1.0,47.0
PO-SIM-0002096,S003,P0008,Clothing,SUP-01,2024-01-28,2024-01-31,18,3,False,simulation,0.0,18.0,입고 예정,1.0,18.0
PO-SIM-0002097,S003,P0010,Groceries,SUP-04,2024-01-28,2024-02-03,13,6,False,simulation,0.0,13.0,입고 예정,1.0,13.0
PO-SIM-0002098,S003,P0019,Groceries,SUP-04,2024-01-28,2024-02-03,65,6,False,simulation,0.0,65.0,입고 예정,1.0,65.0
PO-SIM-0002099,S004,P0004,Groceries,SUP-04,2024-01-28,2024-02-03,165,6,False,simulation,0.0,165.0,입고 예정,1.0,165.0
PO-SIM-0002100,S004,P0007,Groceries,SUP-04,2024-01-28,2024-02-03,188,6,False,simulation,0.0,188.0,입고 예정,1.0,188.0
PO-SIM-0002101,S004,P0012,Electronics,SUP-02,2024-01-28,2024-02-01,87,4,False,simulation,0.0,87.0,입고 예정,1.0,87.0
PO-SIM-0002102,S004,P0014,Furniture,SUP-03,2024-01-28,2024-02-02,91,5,False,simulation,0.0,91.0,입고 예정,1.0,91.0
PO-SIM-0002103,S004,P0016,Furniture,SUP-03,2024-01-28,2024-02-02,24,5,False,simulation,0.0,24.0,입고 예정,1.0,24.0
PO-SIM-0002104,S004,P0017,Clothing,SUP-01,2024-01-28,2024-01-31,82,3,False,simulation,0.0,82.0,입고 예정,1.0,82.0
PO-SIM-0002105,S004,P0018,Furniture,SUP-03,2024-01-28,2024-02-02,26,5,False,simulation,0.0,26.0,입고 예정,1.0,26.0
PO-SIM-0002106,S005,P0002,Electronics,SUP-02,2024-01-28,2024-02-01,37,4,False,simulation,0.0,37.0,입고 예정,1.0,37.0
PO-SIM-0002107,S005,P0003,Toys,SUP-05,2024-01-28,2024-01-31,38,3,False,simulation,0.0,38.0,입고 예정,1.0,38.0
PO-SIM-0002108,S005,P0004,Groceries,SUP-04,2024-01-28,2024-02-03,66,6,False,simulation,0.0,66.0,입고 예정,1.0,66.0
PO-SIM-0002109,S005,P0008,Groceries,SUP-04,2024-01-28,2024-02-03,35,6,False,simulation,0.0,35.0,입고 예정,1.0,35.0
PO-SIM-0002110,S005,P0011,Electronics,SUP-02,2024-01-28,2024-02-01,33,4,False,simulation,0.0,33.0,입고 예정,1.0,33.0
PO-SIM-0002111,S005,P0015,Groceries,SUP-04,2024-01-28,2024-02-03,42,6,False,simulation,0.0,42.0,입고 예정,1.0,42.0
PO-SIM-0002112,S005,P0017,Toys,SUP-05,2024-01-28,2024-01-31,21,3,False,simulation,0.0,21.0,입고 예정,1.0,21.0
PO-SIM-0002114,S005,P0020,Toys,SUP-05,2024-01-28,2024-01-31,66,3,False,simulation,0.0,66.0,입고 예정,1.0,66.0
PO-SIM-0002116,S001,P0007,Groceries,SUP-04,2024-01-29,2024-02-04,35,6,False,simulation,0.0,35.0,입고 예정,1.0,35.0
PO-SIM-0002117,S001,P0008,Electronics,SUP-02,2024-01-29,2024-02-02,14,4,False,simulation,0.0,14.0,입고 예정,1.0,14.0
PO-SIM-0002118,S001,P0009,Clothing,SUP-01,2024-01-29,2024-02-01,68,3,False,simulation,0.0,68.0,입고 예정,1.0,68.0
PO-SIM-0002119,S001,P0013,Toys,SUP-05,2024-01-29,2024-02-01,43,3,False,simulation,0.0,43.0,입고 예정,1.0,43.0
PO-SIM-0002120,S001,P0015,Toys,SUP-05,2024-01-29,2024-02-01,65,3,False,simulation,0.0,65.0,입고 예정,1.0,65.0
PO-SIM-0002121,S001,P0019,Furniture,SUP-03,2024-01-29,2024-02-03,13,5,False,simulation,0.0,13.0,입고 예정,1.0,13.0
PO-SIM-0002122,S002,P0010,Groceries,SUP-04,2024-01-29,2024-02-04,32,6,False,simulation,0.0,32.0,입고 예정,1.0,32.0
PO-SIM-0002123,S003,P0002,Groceries,SUP-04,2024-01-29,2024-02-04,41,6,False,simulation,0.0,41.0,입고 예정,1.0,41.0
PO-SIM-0002124,S003,P0009,Groceries,SUP-04,2024-01-29,2024-02-04,96,6,False,simulation,0.0,96.0,입고 예정,1.0,96.0
PO-SIM-0002125,S003,P0010,Groceries,SUP-04,2024-01-29,2024-02-04,17,6,False,simulation,0.0,17.0,입고 예정,1.0,17.0
PO-SIM-0002126,S004,P0008,Furniture,SUP-03,2024-01-29,2024-02-03,12,5,False,simulation,0.0,12.0,입고 예정,1.0,12.0
PO-SIM-0002127,S004,P0012,Electronics,SUP-02,2024-01-29,2024-02-02,1,4,False,simulation,0.0,1.0,입고 예정,1.0,1.0
PO-SIM-0002128,S004,P0017,Clothing,SUP-01,2024-01-29,2024-02-01,63,3,False,simulation,0.0,63.0,입고 예정,1.0,63.0
PO-SIM-0002129,S005,P0001,Groceries,SUP-04,2024-01-29,2024-02-04,46,6,False,simulation,0.0,46.0,입고 예정,1.0,46.0
PO-SIM-0002130,S005,P0004,Groceries,SUP-04,2024-01-29,2024-02-04,4,6,False,simulation,0.0,4.0,입고 예정,1.0,4.0
PO-SIM-0002131,S005,P0007,Groceries,SUP-04,2024-01-29,2024-02-04,17,6,False,simulation,0.0,17.0,입고 예정,1.0,17.0
PO-SIM-0002132,S005,P0008,Groceries,SUP-04,2024-01-29,2024-02-04,16,6,False,simulation,0.0,16.0,입고 예정,1.0,16.0
PO-SIM-0002133,S005,P0017,Toys,SUP-05,2024-01-29,2024-02-01,10,3,False,simulation,0.0,10.0,입고 예정,1.0,10.0
PO-SIM-0002134,S005,P0018,Clothing,SUP-01,2024-01-29,2024-02-01,63,3,False,simulation,0.0,63.0,입고 예정,1.0,63.0
PO-SIM-0002135,S005,P0019,Furniture,SUP-03,2024-01-29,2024-02-03,54,5,False,simulation,0.0,54.0,입고 예정,1.0,54.0
