purchase_order_id,store_id,product_id,category,supplier_id,order_date,expected_arrival_date,ordered_qty,planned_lead_time_days,cancelled_flag,data_origin
PO-SIM-0000038,S002,P0018,Clothing,SUP-01,2023-11-02,2023-11-05,68,3,False,simulation
PO-SIM-0000039,S002,P0019,Clothing,SUP-01,2023-11-02,2023-11-05,42,3,False,simulation
PO-SIM-0000040,S003,P0001,Toys,SUP-05,2023-11-02,2023-11-05,4,3,False,simulation
PO-SIM-0000041,S003,P0003,Electronics,SUP-02,2023-11-02,2023-11-06,40,4,False,simulation
PO-SIM-0000042,S003,P0006,Toys,SUP-05,2023-11-02,2023-11-05,31,3,False,simulation
PO-SIM-0000043,S003,P0009,Groceries,SUP-04,2023-11-02,2023-11-08,70,6,False,simulation
PO-SIM-0000044,S003,P0010,Groceries,SUP-04,2023-11-02,2023-11-08,141,6,False,simulation
PO-SIM-0000045,S003,P0014,Groceries,SUP-04,2023-11-02,2023-11-08,89,6,False,simulation
PO-SIM-0000046,S003,P0019,Groceries,SUP-04,2023-11-02,2023-11-08,42,6,False,simulation
PO-SIM-0000047,S004,P0008,Furniture,SUP-03,2023-11-02,2023-11-07,16,5,False,simulation
PO-SIM-0000048,S004,P0009,Clothing,SUP-01,2023-11-02,2023-11-05,159,3,False,simulation
PO-SIM-0000049,S004,P0018,Furniture,SUP-03,2023-11-02,2023-11-07,10,5,False,simulation
PO-SIM-0000050,S004,P0019,Clothing,SUP-01,2023-11-02,2023-11-05,40,3,False,simulation
PO-SIM-0000051,S005,P0001,Groceries,SUP-04,2023-11-02,2023-11-08,123,6,False,simulation
PO-SIM-0000052,S005,P0003,Toys,SUP-05,2023-11-02,2023-11-05,18,3,True,simulation
PO-SIM-0000053,S005,P0004,Groceries,SUP-04,2023-11-02,2023-11-08,27,6,False,simulation
PO-SIM-0000054,S005,P0005,Groceries,SUP-04,2023-11-02,2023-11-08,8,6,False,simulation
PO-SIM-0000055,S005,P0008,Groceries,SUP-04,2023-11-02,2023-11-08,35,6,False,simulation
PO-SIM-0000056,S005,P0010,Groceries,SUP-04,2023-11-02,2023-11-08,97,6,False,simulation
PO-SIM-0000057,S005,P0017,Toys,SUP-05,2023-11-02,2023-11-05,57,3,False,simulation
PO-SIM-0000058,S005,P0018,Clothing,SUP-01,2023-11-02,2023-11-05,109,3,False,simulation
PO-SIM-0000059,S005,P0020,Toys,SUP-05,2023-11-02,2023-11-05,96,3,False,simulation
PO-SIM-0000060,S001,P0001,Electronics,SUP-02,2023-11-03,2023-11-07,64,4,False,simulation
PO-SIM-0000061,S001,P0002,Clothing,SUP-01,2023-11-03,2023-11-06,14,3,False,simulation
PO-SIM-0000062,S001,P0008,Electronics,SUP-02,2023-11-03,2023-11-07,40,4,False,simulation
PO-SIM-0000063,S001,P0009,Clothing,SUP-01,2023-11-03,2023-11-06,4,3,False,simulation
PO-SIM-0000064,S001,P0013,Toys,SUP-05,2023-11-03,2023-11-06,38,3,False,simulation
PO-SIM-0000065,S001,P0015,Toys,SUP-05,2023-11-03,2023-11-06,8,3,False,simulation
PO-SIM-0000066,S001,P0018,Groceries,SUP-04,2023-11-03,2023-11-09,9,6,False,simulation
PO-SIM-0000067,S002,P0002,Toys,SUP-05,2023-11-03,2023-11-06,23,3,False,simulation
PO-SIM-0000068,S002,P0008,Groceries,SUP-04,2023-11-03,2023-11-09,112,6,False,simulation
PO-SIM-0000069,S002,P0009,Groceries,SUP-04,2023-11-03,2023-11-09,52,6,False,simulation
PO-SIM-0000070,S002,P0017,Toys,SUP-05,2023-11-03,2023-11-06,58,3,False,simulation
PO-SIM-0000071,S003,P0008,Clothing,SUP-01,2023-11-03,2023-11-06,39,3,False,simulation
PO-SIM-0000072,S003,P0010,Groceries,SUP-04,2023-11-03,2023-11-09,24,6,False,simulation
PO-SIM-0000073,S004,P0005,Clothing,SUP-01,2023-11-03,2023-11-06,27,3,False,simulation
PO-SIM-0000074,S004,P0006,Groceries,SUP-04,2023-11-03,2023-11-09,1,6,False,simulation
PO-SIM-0000075,S004,P0008,Furniture,SUP-03,2023-11-03,2023-11-08,34,5,False,simulation
PO-SIM-0000076,S004,P0012,Electronics,SUP-02,2023-11-03,2023-11-07,75,4,False,simulation
PO-SIM-0000077,S005,P0003,Toys,SUP-05,2023-11-03,2023-11-06,5,3,False,simulation
PO-SIM-0000078,S005,P0007,Groceries,SUP-04,2023-11-03,2023-11-09,24,6,False,simulation
PO-SIM-0000079,S005,P0008,Groceries,SUP-04,2023-11-03,2023-11-09,58,6,False,simulation
PO-SIM-0000080,S005,P0011,Electronics,SUP-02,2023-11-03,2023-11-07,39,4,False,simulation
PO-SIM-0000081,S005,P0018,Clothing,SUP-01,2023-11-03,2023-11-06,42,3,False,simulation
PO-SIM-0000082,S005,P0020,Toys,SUP-05,2023-11-03,2023-11-06,83,3,False,simulation
PO-SIM-0000083,S001,P0009,Clothing,SUP-01,2023-11-04,2023-11-07,22,3,False,simulation
PO-SIM-0000084,S001,P0010,Furniture,SUP-03,2023-11-04,2023-11-09,51,5,False,simulation
PO-SIM-0000085,S001,P0014,Groceries,SUP-04,2023-11-04,2023-11-10,12,6,False,simulation
PO-SIM-0000086,S001,P0015,Toys,SUP-05,2023-11-04,2023-11-07,51,3,False,simulation
PO-SIM-0000087,S001,P0017,Toys,SUP-05,2023-11-04,2023-11-07,83,3,False,simulation
PO-SIM-0000088,S001,P0019,Furniture,SUP-03,2023-11-04,2023-11-09,10,5,False,simulation
PO-SIM-0000089,S002,P0007,Toys,SUP-05,2023-11-04,2023-11-07,3,3,False,simulation
PO-SIM-0000090,S002,P0011,Groceries,SUP-04,2023-11-04,2023-11-10,46,6,False,simulation
PO-SIM-0000091,S002,P0015,Clothing,SUP-01,2023-11-04,2023-11-07,28,3,False,simulation
PO-SIM-0000092,S003,P0001,Toys,SUP-05,2023-11-04,2023-11-07,37,3,False,simulation
PO-SIM-0000093,S003,P0003,Electronics,SUP-02,2023-11-04,2023-11-08,32,4,False,simulation
PO-SIM-0000094,S003,P0006,Toys,SUP-05,2023-11-04,2023-11-07,29,3,False,simulation
PO-SIM-0000095,S003,P0009,Groceries,SUP-04,2023-11-04,2023-11-10,115,6,False,simulation
PO-SIM-0000096,S003,P0010,Groceries,SUP-04,2023-11-04,2023-11-10,110,6,False,simulation
PO-SIM-0000097,S003,P0011,Electronics,SUP-02,2023-11-04,2023-11-08,77,4,False,simulation
PO-SIM-0000098,S003,P0019,Groceries,SUP-04,2023-11-04,2023-11-10,117,6,False,simulation
PO-SIM-0000099,S004,P0010,Groceries,SUP-04,2023-11-04,2023-11-10,49,6,False,simulation
PO-SIM-0000100,S004,P0012,Electronics,SUP-02,2023-11-04,2023-11-08,52,4,False,simulation
PO-SIM-0000101,S005,P0003,Toys,SUP-05,2023-11-04,2023-11-07,1,3,False,simulation
PO-SIM-0000102,S005,P0004,Groceries,SUP-04,2023-11-04,2023-11-10,38,6,False,simulation
PO-SIM-0000103,S005,P0011,Electronics,SUP-02,2023-11-04,2023-11-08,149,4,False,simulation
PO-SIM-0000104,S005,P0015,Groceries,SUP-04,2023-11-04,2023-11-10,12,6,False,simulation
PO-SIM-0000105,S005,P0017,Toys,SUP-05,2023-11-04,2023-11-07,8,3,False,simulation
PO-SIM-0000106,S005,P0020,Toys,SUP-05,2023-11-04,2023-11-07,8,3,False,simulation
PO-SIM-0000107,S001,P0004,Electronics,SUP-02,2023-11-05,2023-11-09,9,4,False,simulation
PO-SIM-0000108,S001,P0008,Electronics,SUP-02,2023-11-05,2023-11-09,62,4,False,simulation
PO-SIM-0000109,S001,P0013,Toys,SUP-05,2023-11-05,2023-11-08,31,3,False,simulation
PO-SIM-0000110,S001,P0015,Toys,SUP-05,2023-11-05,2023-11-08,15,3,False,simulation
PO-SIM-0000111,S001,P0016,Groceries,SUP-04,2023-11-05,2023-11-11,82,6,False,simulation
PO-SIM-0000112,S001,P0017,Toys,SUP-05,2023-11-05,2023-11-08,26,3,False,simulation
PO-SIM-0000113,S001,P0018,Groceries,SUP-04,2023-11-05,2023-11-11,40,6,False,simulation
PO-SIM-0000114,S002,P0006,Clothing,SUP-01,2023-11-05,2023-11-08,49,3,False,simulation
PO-SIM-0000115,S002,P0008,Groceries,SUP-04,2023-11-05,2023-11-11,89,6,False,simulation
PO-SIM-0000116,S002,P0010,Groceries,SUP-04,2023-11-05,2023-11-11,65,6,False,simulation
PO-SIM-0000117,S003,P0004,Groceries,SUP-04,2023-11-05,2023-11-11,66,6,False,simulation
PO-SIM-0000118,S003,P0009,Groceries,SUP-04,2023-11-05,2023-11-11,23,6,False,simulation
PO-SIM-0000119,S004,P0005,Clothing,SUP-01,2023-11-05,2023-11-08,5,3,False,simulation
PO-SIM-0000120,S004,P0006,Groceries,SUP-04,2023-11-05,2023-11-11,29,6,False,simulation
PO-SIM-0000121,S004,P0008,Furniture,SUP-03,2023-11-05,2023-11-10,118,5,False,simulation
PO-SIM-0000122,S004,P0010,Groceries,SUP-04,2023-11-05,2023-11-11,88,6,False,simulation
PO-SIM-0000123,S004,P0018,Furniture,SUP-03,2023-11-05,2023-11-10,15,5,False,simulation
PO-SIM-0000124,S004,P0019,Clothing,SUP-01,2023-11-05,2023-11-08,47,3,False,simulation
PO-SIM-0000125,S005,P0004,Groceries,SUP-04,2023-11-05,2023-11-11,36,6,False,simulation
PO-SIM-0000126,S005,P0005,Groceries,SUP-04,2023-11-05,2023-11-11,73,6,False,simulation
PO-SIM-0000127,S005,P0018,Clothing,SUP-01,2023-11-05,2023-11-08,12,3,False,simulation
PO-SIM-0000128,S005,P0020,Toys,SUP-05,2023-11-05,2023-11-08,15,3,False,simulation
PO-SIM-0000129,S001,P0002,Clothing,SUP-01,2023-11-06,2023-11-09,56,3,False,simulation
PO-SIM-0000130,S001,P0006,Toys,SUP-05,2023-11-06,2023-11-09,34,3,False,simulation
PO-SIM-0000131,S001,P0008,Electronics,SUP-02,2023-11-06,2023-11-10,47,4,False,simulation
PO-SIM-0000132,S001,P0009,Clothing,SUP-01,2023-11-06,2023-11-09,49,3,False,simulation
PO-SIM-0000133,S001,P0015,Toys,SUP-05,2023-11-06,2023-11-09,4,3,False,simulation
PO-SIM-0000134,S002,P0008,Groceries,SUP-04,2023-11-06,2023-11-12,3,6,False,simulation
PO-SIM-0000135,S002,P0013,Groceries,SUP-04,2023-11-06,2023-11-12,63,6,False,simulation
PO-SIM-0000136,S003,P0004,Groceries,SUP-04,2023-11-06,2023-11-12,96,6,False,simulation
PO-SIM-0000137,S003,P0006,Toys,SUP-05,2023-11-06,2023-11-09,35,3,False,simulation
PO-SIM-0000138,S003,P0017,Furniture,SUP-03,2023-11-06,2023-11-11,34,5,False,simulation
PO-SIM-0000139,S003,P0019,Groceries,SUP-04,2023-11-06,2023-11-12,60,6,False,simulation
PO-SIM-0000140,S004,P0005,Clothing,SUP-01,2023-11-06,2023-11-09,59,3,False,simulation
PO-SIM-0000141,S004,P0019,Clothing,SUP-01,2023-11-06,2023-11-09,5,3,False,simulation
PO-SIM-0000142,S005,P0003,Toys,SUP-05,2023-11-06,2023-11-09,6,3,False,simulation
PO-SIM-0000143,S001,P0002,Clothing,SUP-01,2023-11-07,2023-11-10,48,3,False,simulation
PO-SIM-0000144,S001,P0006,Toys,SUP-05,2023-11-07,2023-11-10,118,3,False,simulation
PO-SIM-0000145,S001,P0008,Electronics,SUP-02,2023-11-07,2023-11-11,13,4,False,simulation
PO-SIM-0000146,S001,P0013,Toys,SUP-05,2023-11-07,2023-11-10,31,3,False,simulation
PO-SIM-0000147,S001,P0015,Toys,SUP-05,2023-11-07,2023-11-10,1,3,False,simulation
PO-SIM-0000148,S001,P0017,Toys,SUP-05,2023-11-07,2023-11-10,5,3,False,simulation
PO-SIM-0000149,S002,P0001,Groceries,SUP-04,2023-11-07,2023-11-13,19,6,False,simulation
PO-SIM-0000150,S002,P0006,Clothing,SUP-01,2023-11-07,2023-11-10,15,3,False,simulation
PO-SIM-0000151,S002,P0010,Groceries,SUP-04,2023-11-07,2023-11-13,45,6,False,simulation
PO-SIM-0000152,S002,P0018,Clothing,SUP-01,2023-11-07,2023-11-10,64,3,False,simulation
PO-SIM-0000153,S003,P0006,Toys,SUP-05,2023-11-07,2023-11-10,46,3,False,simulation
PO-SIM-0000154,S003,P0010,Groceries,SUP-04,2023-11-07,2023-11-13,43,6,False,simulation
PO-SIM-0000155,S004,P0002,Groceries,SUP-04,2023-11-07,2023-11-13,66,6,False,simulation
PO-SIM-0000156,S004,P0003,Furniture,SUP-03,2023-11-07,2023-11-12,53,5,False,simulation
PO-SIM-0000157,S004,P0005,Clothing,SUP-01,2023-11-07,2023-11-10,42,3,False,simulation
PO-SIM-0000158,S004,P0013,Groceries,SUP-04,2023-11-07,2023-11-13,43,6,False,simulation
PO-SIM-0000159,S004,P0017,Clothing,SUP-01,2023-11-07,2023-11-10,60,3,False,simulation
PO-SIM-0000160,S005,P0008,Groceries,SUP-04,2023-11-07,2023-11-13,16,6,False,simulation
PO-SIM-0000161,S005,P0009,Groceries,SUP-04,2023-11-07,2023-11-13,53,6,False,simulation
PO-SIM-0000162,S005,P0010,Groceries,SUP-04,2023-11-07,2023-11-13,39,6,False,simulation
PO-SIM-0000163,S005,P0017,Toys,SUP-05,2023-11-07,2023-11-10,60,3,False,simulation
PO-SIM-0000164,S005,P0018,Clothing,SUP-01,2023-11-07,2023-11-10,64,3,False,simulation
PO-SIM-0000165,S005,P0020,Toys,SUP-05,2023-11-07,2023-11-10,33,3,False,simulation
PO-SIM-0000166,S001,P0004,Electronics,SUP-02,2023-11-08,2023-11-12,2,4,False,simulation
PO-SIM-0000167,S001,P0008,Electronics,SUP-02,2023-11-08,2023-11-12,88,4,False,simulation
PO-SIM-0000168,S001,P0012,Groceries,SUP-04,2023-11-08,2023-11-14,28,6,False,simulation
PO-SIM-0000169,S001,P0013,Toys,SUP-05,2023-11-08,2023-11-11,81,3,False,simulation
PO-SIM-0000170,S001,P0015,Toys,SUP-05,2023-11-08,2023-11-11,13,3,False,simulation
PO-SIM-0000171,S001,P0017,Toys,SUP-05,2023-11-08,2023-11-11,132,3,False,simulation
PO-SIM-0000172,S001,P0018,Groceries,SUP-04,2023-11-08,2023-11-14,73,6,False,simulation
PO-SIM-0000173,S002,P0002,Toys,SUP-05,2023-11-08,2023-11-11,20,3,False,simulation
PO-SIM-0000174,S002,P0008,Groceries,SUP-04,2023-11-08,2023-11-14,82,6,False,simulation
PO-SIM-0000175,S002,P0010,Groceries,SUP-04,2023-11-08,2023-11-14,93,6,False,simulation
PO-SIM-0000176,S002,P0016,Clothing,SUP-01,2023-11-08,2023-11-11,14,3,False,simulation
PO-SIM-0000177,S002,P0018,Clothing,SUP-01,2023-11-08,2023-11-11,73,3,False,simulation
PO-SIM-0000178,S003,P0001,Toys,SUP-05,2023-11-08,2023-11-11,100,3,False,simulation
PO-SIM-0000179,S003,P0006,Toys,SUP-05,2023-11-08,2023-11-11,21,3,False,simulation
PO-SIM-0000180,S003,P0009,Groceries,SUP-04,2023-11-08,2023-11-14,130,6,False,simulation
PO-SIM-0000181,S003,P0010,Groceries,SUP-04,2023-11-08,2023-11-14,134,6,False,simulation
PO-SIM-0000182,S004,P0005,Clothing,SUP-01,2023-11-08,2023-11-11,11,3,False,simulation
PO-SIM-0000183,S004,P0007,Groceries,SUP-04,2023-11-08,2023-11-14,19,6,False,simulation
PO-SIM-0000184,S004,P0012,Electronics,SUP-02,2023-11-08,2023-11-12,60,4,False,simulation
PO-SIM-0000185,S004,P0017,Clothing,SUP-01,2023-11-08,2023-11-11,25,3,False,simulation
PO-SIM-0000186,S005,P0003,Toys,SUP-05,2023-11-08,2023-11-11,41,3,False,simulation
PO-SIM-0000187,S005,P0004,Groceries,SUP-04,2023-11-08,2023-11-14,28,6,False,simulation
PO-SIM-0000188,S005,P0007,Groceries,SUP-04,2023-11-08,2023-11-14,153,6,False,simulation
PO-SIM-0000189,S005,P0008,Groceries,SUP-04,2023-11-08,2023-11-14,34,6,False,simulation
PO-SIM-0000190,S005,P0017,Toys,SUP-05,2023-11-08,2023-11-11,63,3,False,simulation
PO-SIM-0000191,S005,P0018,Clothing,SUP-01,2023-11-08,2023-11-11,109,3,False,simulation
PO-SIM-0000192,S001,P0003,Clothing,SUP-01,2023-11-09,2023-11-12,74,3,False,simulation
PO-SIM-0000193,S001,P0008,Electronics,SUP-02,2023-11-09,2023-11-13,40,4,False,simulation
PO-SIM-0000194,S002,P0006,Clothing,SUP-01,2023-11-09,2023-11-12,18,3,False,simulation
PO-SIM-0000195,S002,P0008,Groceries,SUP-04,2023-11-09,2023-11-15,113,6,False,simulation
PO-SIM-0000196,S002,P0009,Groceries,SUP-04,2023-11-09,2023-11-15,9,6,False,simulation
PO-SIM-0000197,S002,P0010,Groceries,SUP-04,2023-11-09,2023-11-15,87,6,False,simulation
PO-SIM-0000198,S002,P0011,Groceries,SUP-04,2023-11-09,2023-11-15,40,6,False,simulation
PO-SIM-0000199,S002,P0018,Clothing,SUP-01,2023-11-09,2023-11-12,42,3,False,simulation
PO-SIM-0000200,S003,P0006,Toys,SUP-05,2023-11-09,2023-11-12,45,3,False,simulation
PO-SIM-0000201,S003,P0009,Groceries,SUP-04,2023-11-09,2023-11-15,63,6,False,simulation
PO-SIM-0000202,S004,P0005,Clothing,SUP-01,2023-11-09,2023-11-12,50,3,False,simulation
PO-SIM-0000203,S004,P0006,Groceries,SUP-04,2023-11-09,2023-11-15,49,6,False,simulation
PO-SIM-0000204,S004,P0008,Furniture,SUP-03,2023-11-09,2023-11-14,43,5,False,simulation
PO-SIM-0000205,S004,P0012,Electronics,SUP-02,2023-11-09,2023-11-13,65,4,True,simulation
PO-SIM-0000206,S004,P0014,Furniture,SUP-03,2023-11-09,2023-11-14,22,5,False,simulation
PO-SIM-0000207,S004,P0017,Clothing,SUP-01,2023-11-09,2023-11-12,63,3,False,simulation
PO-SIM-0000208,S004,P0018,Furniture,SUP-03,2023-11-09,2023-11-14,46,5,False,simulation
PO-SIM-0000209,S004,P0019,Clothing,SUP-01,2023-11-09,2023-11-12,3,3,False,simulation
PO-SIM-0000210,S005,P0008,Groceries,SUP-04,2023-11-09,2023-11-15,82,6,False,simulation
PO-SIM-0000211,S005,P0017,Toys,SUP-05,2023-11-09,2023-11-12,48,3,False,simulation
PO-SIM-0000212,S005,P0018,Clothing,SUP-01,2023-11-09,2023-11-12,17,3,False,simulation
PO-SIM-0000213,S001,P0002,Clothing,SUP-01,2023-11-10,2023-11-13,22,3,False,simulation
PO-SIM-0000214,S001,P0004,Electronics,SUP-02,2023-11-10,2023-11-14,24,4,False,simulation
PO-SIM-0000215,S001,P0008,Electronics,SUP-02,2023-11-10,2023-11-14,58,4,False,simulation
PO-SIM-0000216,S001,P0012,Groceries,SUP-04,2023-11-10,2023-11-16,32,6,False,simulation
PO-SIM-0000217,S001,P0013,Toys,SUP-05,2023-11-10,2023-11-13,31,3,False,simulation
PO-SIM-0000218,S001,P0017,Toys,SUP-05,2023-11-10,2023-11-13,13,3,False,simulation
PO-SIM-0000219,S002,P0006,Clothing,SUP-01,2023-11-10,2023-11-13,17,3,False,simulation
PO-SIM-0000220,S002,P0008,Groceries,SUP-04,2023-11-10,2023-11-16,27,6,False,simulation
PO-SIM-0000221,S002,P0013,Groceries,SUP-04,2023-11-10,2023-11-16,3,6,False,simulation
PO-SIM-0000222,S003,P0002,Groceries,SUP-04,2023-11-10,2023-11-16,124,6,False,simulation
PO-SIM-0000223,S003,P0010,Groceries,SUP-04,2023-11-10,2023-11-16,38,6,False,simulation
PO-SIM-0000224,S003,P0012,Furniture,SUP-03,2023-11-10,2023-11-15,33,5,False,simulation
PO-SIM-0000225,S003,P0019,Groceries,SUP-04,2023-11-10,2023-11-16,25,6,False,simulation
PO-SIM-0000226,S004,P0001,Groceries,SUP-04,2023-11-10,2023-11-16,82,6,False,simulation
PO-SIM-0000227,S004,P0008,Furniture,SUP-03,2023-11-10,2023-11-15,18,5,False,simulation
PO-SIM-0000228,S004,P0012,Electronics,SUP-02,2023-11-10,2023-11-14,17,4,False,simulation
PO-SIM-0000229,S004,P0018,Furniture,SUP-03,2023-11-10,2023-11-15,41,5,False,simulation
PO-SIM-0000230,S004,P0019,Clothing,SUP-01,2023-11-10,2023-11-13,37,3,False,simulation
PO-SIM-0000231,S005,P0002,Electronics,SUP-02,2023-11-10,2023-11-14,38,4,False,simulation
PO-SIM-0000232,S005,P0004,Groceries,SUP-04,2023-11-10,2023-11-16,5,6,False,simulation
PO-SIM-0000233,S005,P0005,Groceries,SUP-04,2023-11-10,2023-11-16,54,6,False,simulation
PO-SIM-0000234,S005,P0019,Furniture,SUP-03,2023-11-10,2023-11-15,14,5,False,simulation
PO-SIM-0000235,S005,P0020,Toys,SUP-05,2023-11-10,2023-11-13,68,3,False,simulation
PO-SIM-0000236,S001,P0002,Clothing,SUP-01,2023-11-11,2023-11-14,26,3,False,simulation
PO-SIM-0000237,S001,P0006,Toys,SUP-05,2023-11-11,2023-11-14,35,3,False,simulation
PO-SIM-0000238,S001,P0008,Electronics,SUP-02,2023-11-11,2023-11-15,51,4,False,simulation
PO-SIM-0000239,S001,P0013,Toys,SUP-05,2023-11-11,2023-11-14,50,3,True,simulation
PO-SIM-0000240,S001,P0014,Groceries,SUP-04,2023-11-11,2023-11-17,16,6,False,simulation
PO-SIM-0000241,S001,P0015,Toys,SUP-05,2023-11-11,2023-11-14,69,3,False,simulation
PO-SIM-0000242,S001,P0017,Toys,SUP-05,2023-11-11,2023-11-14,56,3,False,simulation
PO-SIM-0000243,S002,P0001,Groceries,SUP-04,2023-11-11,2023-11-17,17,6,False,simulation
PO-SIM-0000244,S002,P0002,Toys,SUP-05,2023-11-11,2023-11-14,86,3,False,simulation
PO-SIM-0000245,S002,P0018,Clothing,SUP-01,2023-11-11,2023-11-14,38,3,False,simulation
PO-SIM-0000246,S003,P0002,Groceries,SUP-04,2023-11-11,2023-11-17,196,6,False,simulation
PO-SIM-0000247,S003,P0004,Groceries,SUP-04,2023-11-11,2023-11-17,57,6,False,simulation
PO-SIM-0000248,S003,P0006,Toys,SUP-05,2023-11-11,2023-11-14,41,3,False,simulation
PO-SIM-0000249,S003,P0009,Groceries,SUP-04,2023-11-11,2023-11-17,40,6,False,simulation
PO-SIM-0000250,S003,P0010,Groceries,SUP-04,2023-11-11,2023-11-17,54,6,False,simulation
PO-SIM-0000251,S003,P0011,Electronics,SUP-02,2023-11-11,2023-11-15,73,4,False,simulation
PO-SIM-0000252,S004,P0002,Groceries,SUP-04,2023-11-11,2023-11-17,67,6,False,simulation
PO-SIM-0000253,S004,P0005,Clothing,SUP-01,2023-11-11,2023-11-14,27,3,False,simulation
PO-SIM-0000254,S004,P0010,Groceries,SUP-04,2023-11-11,2023-11-17,4,6,False,simulation
PO-SIM-0000255,S004,P0014,Furniture,SUP-03,2023-11-11,2023-11-16,67,5,False,simulation
PO-SIM-0000256,S004,P0017,Clothing,SUP-01,2023-11-11,2023-11-14,103,3,False,simulation
PO-SIM-0000257,S004,P0020,Furniture,SUP-03,2023-11-11,2023-11-16,102,5,False,simulation
PO-SIM-0000258,S005,P0001,Groceries,SUP-04,2023-11-11,2023-11-17,85,6,False,simulation
PO-SIM-0000259,S005,P0009,Groceries,SUP-04,2023-11-11,2023-11-17,31,6,False,simulation
PO-SIM-0000260,S005,P0013,Groceries,SUP-04,2023-11-11,2023-11-17,116,6,False,simulation
PO-SIM-0000261,S005,P0014,Furniture,SUP-03,2023-11-11,2023-11-16,76,5,False,simulation
PO-SIM-0000262,S005,P0018,Clothing,SUP-01,2023-11-11,2023-11-14,22,3,False,simulation
